Open Date,Ticker,Strategy,Strike Price,# Contracts,Premium Collected,Cost Basis,Expiration Date,Status,Close Date,P&L,Notes
2026-03-16,NKE,Cash-Secured Put,50.0,1,117.0,5000.0,2026-04-17,Open,,0.0,
2026-01-13,SOFI,Cash-Secured Put,18.0,1,27.0,1800.0,2026-03-20,Assigned,2026-03-20,27.0,
